skill_id:ID,skill_name,aliases[],:LABEL
7718,back end programming core java,back end programming core java,SKILL
7719,caching,caching,SKILL
7720,crm dynamics,crm dynamics,SKILL
7721,dynamics crm,dynamics crm,SKILL
7722,client side mv,client side mv,SKILL
7723,backend development,backend development,SKILL
7724,frontend development,frontend development;frontend web development,SKILL
7725,senior network engineer,senior network engineer,SKILL
7726,network design,network design,SKILL
7727,network operations,network operations,SKILL
7728,systems implementation,systems implementation,SKILL
7729,contract to hire,contract to hire,SKILL
7730,windows enginer,windows enginer,SKILL
7731,windows architect,windows architect,SKILL
7732,banking clarity ms office,banking clarity ms office,SKILL
7733,anexinet,anexinet,SKILL
7734,sales and delivery,sales and delivery,SKILL
7735,statements of work,statements of work,SKILL
7736,the philadelphia business journal,the philadelphia business journal,SKILL
7737,systems integration and technology management,systems integration and technology management,SKILL
7738,traffic,traffic,SKILL
7739,monitor alerts,monitor alerts,SKILL
7740,analyze,analyze,SKILL
7741,unix shell script,unix shell script,SKILL
7742,data miner,data miner,SKILL
7743,sap bobj hana technical,sap bobj hana technical,SKILL
7744,tivoli access manager,tivoli access manager,SKILL
7745,managed report environment,managed report environment,SKILL
7746,tam,tam,SKILL
7747,dashboard,dashboard,SKILL
7748,reportcaster,reportcaster,SKILL
7749,webfocus,webfocus,SKILL
7750,mre,mre,SKILL
7751,developer studio,developer studio,SKILL
7752,isam,isam,SKILL
7753,arcgis server,arcgis server,SKILL
7754,arcgis portal,arcgis portal,SKILL
7755,arcgisonline apis,arcgisonline apis,SKILL
7756,architecture standards,architecture standards,SKILL
7757,network virtualization,network virtualization platform;network virtualization;network function virtualization,SKILL
7758,data center networking,data center networking;data  networking,SKILL
7759,internet and cloud computing,internet and cloud computing,SKILL
7760,routing protocols,routing protocols;routing protocol,SKILL
7761,jsf and hibernate,jsf and hibernate,SKILL
7762,sql plsql query optimization web,sql plsql query optimization web,SKILL
7763,dynatrace,dynatrace,SKILL
7764,hadoop stack,hadoop stack,SKILL
7765,visualization,geovisualization;visualization;virtualization,SKILL
