:START_ID,:START_ID,:END_ID,:TYPE
151,151,2,HAS_FUTURE
153,153,2,HAS_FUTURE
160,160,2,HAS_FUTURE
164,164,2,HAS_FUTURE
165,165,2,HAS_FUTURE
169,169,2,HAS_FUTURE
176,176,2,HAS_FUTURE
185,185,2,HAS_FUTURE
188,188,2,HAS_FUTURE
193,193,2,HAS_FUTURE
195,195,2,HAS_FUTURE
196,196,2,HAS_FUTURE
200,200,2,HAS_FUTURE
201,201,2,HAS_FUTURE
206,206,2,HAS_FUTURE
208,208,2,HAS_FUTURE
211,211,2,HAS_FUTURE
212,212,2,HAS_FUTURE
213,213,2,HAS_FUTURE
217,217,2,HAS_FUTURE
218,218,2,HAS_FUTURE
219,219,2,HAS_FUTURE
221,221,2,HAS_FUTURE
222,222,2,HAS_FUTURE
223,223,2,HAS_FUTURE
229,229,2,HAS_FUTURE
232,232,2,HAS_FUTURE
234,234,2,HAS_FUTURE
235,235,2,HAS_FUTURE
236,236,2,HAS_FUTURE
240,240,2,HAS_FUTURE
245,245,2,HAS_FUTURE
248,248,2,HAS_FUTURE
251,251,2,HAS_FUTURE
254,254,2,HAS_FUTURE
255,255,2,HAS_FUTURE
264,264,2,HAS_FUTURE
266,266,2,HAS_FUTURE
268,268,2,HAS_FUTURE
269,269,2,HAS_FUTURE
275,275,2,HAS_FUTURE
284,284,2,HAS_FUTURE
285,285,2,HAS_FUTURE
286,286,2,HAS_FUTURE
288,288,2,HAS_FUTURE
289,289,2,HAS_FUTURE
290,290,2,HAS_FUTURE
291,291,2,HAS_FUTURE
293,293,2,HAS_FUTURE
294,294,2,HAS_FUTURE
295,295,2,HAS_FUTURE
298,298,2,HAS_FUTURE
299,299,2,HAS_FUTURE
301,301,2,HAS_FUTURE
303,303,2,HAS_FUTURE
305,305,2,HAS_FUTURE
306,306,2,HAS_FUTURE
307,307,2,HAS_FUTURE
325,325,2,HAS_FUTURE
326,326,2,HAS_FUTURE
327,327,2,HAS_FUTURE
330,330,2,HAS_FUTURE
332,332,2,HAS_FUTURE
333,333,2,HAS_FUTURE
335,335,2,HAS_FUTURE
337,337,2,HAS_FUTURE
339,339,2,HAS_FUTURE
340,340,2,HAS_FUTURE
343,343,2,HAS_FUTURE
344,344,2,HAS_FUTURE
345,345,2,HAS_FUTURE
346,346,2,HAS_FUTURE
348,348,2,HAS_FUTURE
349,349,2,HAS_FUTURE
350,350,2,HAS_FUTURE
360,360,2,HAS_FUTURE
366,366,2,HAS_FUTURE
374,374,2,HAS_FUTURE
377,377,2,HAS_FUTURE
381,381,2,HAS_FUTURE
382,382,2,HAS_FUTURE
385,385,2,HAS_FUTURE
388,388,2,HAS_FUTURE
393,393,2,HAS_FUTURE
394,394,2,HAS_FUTURE
395,395,2,HAS_FUTURE
397,397,2,HAS_FUTURE
407,407,2,HAS_FUTURE
408,408,2,HAS_FUTURE
412,412,2,HAS_FUTURE
413,413,2,HAS_FUTURE
416,416,2,HAS_FUTURE
421,421,2,HAS_FUTURE
422,422,2,HAS_FUTURE
423,423,2,HAS_FUTURE
424,424,2,HAS_FUTURE
425,425,2,HAS_FUTURE
430,430,2,HAS_FUTURE
431,431,2,HAS_FUTURE
432,432,2,HAS_FUTURE
434,434,2,HAS_FUTURE
437,437,2,HAS_FUTURE
438,438,2,HAS_FUTURE
444,444,2,HAS_FUTURE
448,448,2,HAS_FUTURE
449,449,2,HAS_FUTURE
450,450,2,HAS_FUTURE
451,451,2,HAS_FUTURE
454,454,2,HAS_FUTURE
466,466,2,HAS_FUTURE
470,470,2,HAS_FUTURE
471,471,2,HAS_FUTURE
472,472,2,HAS_FUTURE
475,475,2,HAS_FUTURE
476,476,2,HAS_FUTURE
477,477,2,HAS_FUTURE
478,478,2,HAS_FUTURE
484,484,2,HAS_FUTURE
485,485,2,HAS_FUTURE
487,487,2,HAS_FUTURE
491,491,2,HAS_FUTURE
494,494,2,HAS_FUTURE
496,496,2,HAS_FUTURE
497,497,2,HAS_FUTURE
499,499,2,HAS_FUTURE
511,511,2,HAS_FUTURE
515,515,2,HAS_FUTURE
516,516,2,HAS_FUTURE
517,517,2,HAS_FUTURE
519,519,2,HAS_FUTURE
520,520,2,HAS_FUTURE
521,521,2,HAS_FUTURE
523,523,2,HAS_FUTURE
526,526,2,HAS_FUTURE
527,527,2,HAS_FUTURE
528,528,2,HAS_FUTURE
530,530,2,HAS_FUTURE
532,532,2,HAS_FUTURE
534,534,2,HAS_FUTURE
538,538,2,HAS_FUTURE
539,539,2,HAS_FUTURE
541,541,2,HAS_FUTURE
543,543,2,HAS_FUTURE
545,545,2,HAS_FUTURE
552,552,2,HAS_FUTURE
553,553,2,HAS_FUTURE
556,556,2,HAS_FUTURE
560,560,2,HAS_FUTURE
568,568,2,HAS_FUTURE
571,571,2,HAS_FUTURE
578,578,2,HAS_FUTURE
590,590,2,HAS_FUTURE
591,591,2,HAS_FUTURE
593,593,2,HAS_FUTURE
594,594,2,HAS_FUTURE
595,595,2,HAS_FUTURE
596,596,2,HAS_FUTURE
606,606,2,HAS_FUTURE
612,612,2,HAS_FUTURE
618,618,2,HAS_FUTURE
619,619,2,HAS_FUTURE
621,621,2,HAS_FUTURE
626,626,2,HAS_FUTURE
628,628,2,HAS_FUTURE
629,629,2,HAS_FUTURE
631,631,2,HAS_FUTURE
635,635,2,HAS_FUTURE
641,641,2,HAS_FUTURE
643,643,2,HAS_FUTURE
647,647,2,HAS_FUTURE
650,650,2,HAS_FUTURE
651,651,2,HAS_FUTURE
653,653,2,HAS_FUTURE
654,654,2,HAS_FUTURE
656,656,2,HAS_FUTURE
657,657,2,HAS_FUTURE
658,658,2,HAS_FUTURE
659,659,2,HAS_FUTURE
660,660,2,HAS_FUTURE
661,661,2,HAS_FUTURE
662,662,2,HAS_FUTURE
663,663,2,HAS_FUTURE
664,664,2,HAS_FUTURE
665,665,2,HAS_FUTURE
671,671,2,HAS_FUTURE
679,679,2,HAS_FUTURE
690,690,2,HAS_FUTURE
693,693,2,HAS_FUTURE
694,694,2,HAS_FUTURE
696,696,2,HAS_FUTURE
698,698,2,HAS_FUTURE
699,699,2,HAS_FUTURE
700,700,2,HAS_FUTURE
701,701,2,HAS_FUTURE
